gen,eval,value_loss,val_value_loss,policy_loss,buffer,decisive,selfplay_s,train_s,total_s
0,heuristic,1.005827,0.911329,1.269378,5169,2,66.92,39.86,108.02
1,network,0.943880,0.977572,1.248246,9690,0,399.06,26.66,426.58
2,network,0.871641,0.738283,1.244765,13563,0,308.67,32.84,342.47
3,network,0.838608,0.847920,1.226751,18054,0,453.70,30.43,485.08
4,network,0.757831,0.801648,1.214963,20000,0,416.35,35.00,453.65
