gen,eval,turn_cap,value_loss,val_value_loss,policy_loss,buffer,decisive,selfplay_s,train_s,total_s
0,heuristic,5,0.862808,1.367671,1.140109,657,0,2.81,4.58,7.53
1,network,5,0.840296,0.784628,1.117219,1295,0,35.01,8.33,43.47
2,network,5,0.762345,0.858464,1.119054,1917,0,35.48,19.76,55.37
3,network,5,0.790842,0.333570,1.130340,2542,0,28.11,16.34,44.58
4,network,5,0.726420,0.863600,1.131107,3163,0,26.05,21.33,47.51
5,network,5,0.756545,0.792770,1.130810,3768,0,29.49,21.07,50.72
6,network,5,0.769224,0.748563,1.127693,4379,0,36.50,22.73,59.36
7,network,6,0.806934,0.818502,1.135305,5150,0,45.55,21.08,66.77
8,network,6,0.783947,0.865007,1.137576,5854,0,35.22,21.27,56.65
9,network,6,0.792126,0.937671,1.139963,6590,0,39.75,21.27,61.20
10,network,6,0.764891,0.316593,1.141108,7335,0,35.31,21.01,56.47
11,network,6,0.713436,0.891235,1.134783,8078,0,35.13,20.96,56.24
12,network,6,0.743076,0.619008,1.135648,8884,0,40.98,21.78,62.91
13,network,6,0.750526,0.709929,1.141377,9654,0,52.04,29.55,81.80
14,network,7,0.717260,0.910239,1.135759,10640,0,63.60,22.77,86.55
15,network,7,0.772473,0.937744,1.139156,11597,0,48.70,21.45,70.60
16,network,7,0.770660,0.826352,1.144720,12578,0,84.60,26.05,110.85
17,network,7,0.733659,0.918064,1.142585,13486,0,57.38,26.07,83.63
18,network,7,0.794756,0.990135,1.137588,14466,0,67.40,23.48,91.09
19,network,7,0.804592,0.844573,1.139881,15396,0,68.81,23.50,92.50
20,network,8,0.811640,0.881866,1.144426,16501,0,83.71,21.97,105.89
21,network,8,0.803464,0.891848,1.143167,17647,0,63.78,21.75,85.78
22,network,8,0.788618,0.836108,1.147721,18770,0,51.62,21.43,73.25
23,network,8,0.809740,0.709464,1.143746,19896,0,60.50,21.70,82.43
24,network,8,0.794773,0.888539,1.142132,20000,0,71.99,58.92,131.30
