gen,eval,turn_cap,mix_w,gate_score,promoted,value_loss,val_value_loss,val_sign_acc,policy_loss,buffer,decisive,selfplay_s,train_s,total_s
0,heuristic,5,0.000,nan,0,0.856704,0.834945,0.5455,1.115447,749,0,4.25,5.76,10.18
1,network,5,0.030,0.500,0,0.875570,0.761223,0.5476,1.217407,1458,0,40.97,12.88,54.17
2,network,5,0.060,0.562,1,0.829873,0.890052,0.4676,1.203349,2153,0,69.20,19.28,89.10
3,network,5,0.090,0.438,0,0.800463,0.878600,0.5080,1.193447,2900,0,50.01,30.92,81.31
4,network,5,0.120,0.156,0,0.778373,0.800526,0.5647,1.192604,3623,0,41.91,28.98,71.24
5,network,5,0.150,0.469,0,0.746473,0.854014,0.5312,1.202728,4352,0,48.92,34.04,83.82
6,network,5,0.180,0.281,0,0.747980,0.913861,0.5826,1.067413,5061,0,59.44,25.00,84.83
7,network,5,0.210,0.250,0,0.707928,0.889035,0.4976,1.065711,5807,0,51.72,31.18,83.28
8,network,5,0.240,0.406,0,0.663524,0.807954,0.5770,1.060033,6551,0,42.50,24.65,67.50
9,network,5,0.270,0.375,0,0.649860,0.862276,0.5827,1.058990,7275,0,40.85,26.55,67.93
10,network,6,0.300,0.562,1,0.593704,0.954979,0.4815,1.051384,8187,0,65.95,23.96,90.48
11,network,6,0.300,0.219,0,0.573622,0.832767,0.5197,1.044003,9150,0,63.23,29.32,92.97
12,network,6,0.300,0.406,0,0.549019,0.973954,0.5181,1.044368,10135,0,64.93,24.80,90.62
13,network,6,0.300,0.406,0,0.548549,0.956574,0.5510,1.039778,11112,0,94.59,25.12,120.22
14,network,6,0.300,0.062,0,0.540641,0.881449,0.6625,1.031913,12072,0,62.40,24.44,87.27
15,network,6,0.300,0.500,0,0.539341,0.774138,0.5185,1.028432,13055,0,69.37,25.18,95.10
16,network,6,0.300,0.500,0,0.521416,0.918140,0.5229,1.031027,14006,0,73.80,25.07,99.41
17,network,6,0.300,0.562,1,0.507865,1.005277,0.5586,1.027293,14933,0,58.39,24.65,83.64
18,network,6,0.300,0.594,1,0.508346,0.999356,0.5000,1.024225,15961,0,62.86,24.08,87.52
19,network,6,0.300,0.500,0,0.494151,1.045481,0.4874,1.025030,17021,0,73.81,33.11,107.67
20,network,7,0.300,0.594,1,0.498955,0.969700,0.4897,1.024353,18338,0,109.13,25.24,135.03
21,network,7,0.300,0.406,0,0.520924,0.986955,0.5104,1.022629,19576,0,111.13,25.81,138.20
22,network,7,0.300,0.625,1,0.473223,0.861407,0.5230,1.018173,20000,0,100.68,27.09,128.40
23,network,7,0.300,0.438,0,0.456441,1.084449,0.5149,1.013087,20000,0,63.90,19.04,83.41
24,network,7,0.300,0.469,0,0.447414,0.887684,0.5419,1.008269,20000,0,54.27,18.36,73.14
25,network,7,0.300,0.719,1,0.435979,0.880483,0.5973,1.011033,20000,0,50.31,19.35,70.48
26,network,7,0.300,0.688,1,0.418555,0.858630,0.5339,0.999995,20000,0,49.91,23.65,74.41
27,network,7,0.300,0.438,0,0.426651,0.954853,0.5616,0.995811,20000,0,49.74,19.56,69.78
28,network,7,0.300,0.500,0,0.418986,0.862916,0.6047,0.996142,20000,0,50.66,20.01,71.17
29,network,7,0.300,0.406,0,0.432001,0.899924,0.5428,0.987141,20000,0,52.63,19.35,72.48
30,network,8,0.300,0.438,0,0.418191,0.895018,0.6170,0.998659,20000,0,71.11,19.68,91.49
31,network,8,0.300,0.562,1,0.431788,0.820513,0.6443,1.001486,20000,0,73.50,18.57,92.86
32,network,8,0.300,0.500,0,0.422665,0.791793,0.7867,1.005998,20000,0,73.07,17.87,91.55
33,network,8,0.300,0.406,0,0.416312,0.697577,0.7657,1.003852,20000,0,66.52,17.26,84.40
34,network,8,0.300,0.562,1,0.410879,0.961568,0.6747,0.998612,20000,0,70.88,17.26,88.93
35,network,8,0.300,0.312,0,0.412940,0.792649,0.7269,1.000901,20000,0,62.54,24.73,87.98
36,network,8,0.300,0.312,0,0.417090,0.826417,0.6340,0.995822,20000,0,71.40,20.17,92.24
37,network,8,0.300,0.469,0,0.422297,0.954581,0.4797,0.994840,20000,0,69.85,18.09,88.58
38,network,8,0.300,0.375,0,0.420481,0.888384,0.6714,0.991011,20000,0,60.00,17.17,77.72
39,network,8,0.300,0.219,0,0.419612,0.776707,0.7287,0.990484,20000,0,61.04,19.83,81.43
40,network,9,0.300,0.625,1,0.409325,0.777697,0.7478,0.990237,20000,0,78.35,17.35,96.39
41,network,9,0.300,0.562,1,0.417884,1.122031,0.5396,0.983125,20000,0,80.78,17.34,98.94
42,network,9,0.300,0.625,1,0.408541,0.754565,0.7135,0.983950,20000,0,64.31,17.28,82.28
43,network,9,0.300,0.625,1,0.418799,0.958510,0.6211,0.988158,20000,0,81.35,17.04,99.27
44,network,9,0.300,0.438,0,0.412553,0.722249,0.7128,0.977539,20000,0,77.45,17.38,95.55
45,network,9,0.300,0.500,0,0.407593,0.790965,0.7061,0.974572,20000,0,77.36,17.36,95.44
46,network,9,0.300,0.625,1,0.402949,0.815074,0.6870,0.970189,20000,0,79.59,17.54,97.98
47,network,9,0.300,0.281,0,0.400436,0.814150,0.6555,0.970940,20000,0,70.34,17.65,88.69
48,network,9,0.300,0.312,0,0.397260,1.169858,0.5032,0.963732,20000,0,80.16,17.79,98.76
49,network,9,0.300,0.438,0,0.378405,0.903666,0.6138,0.969095,20000,0,84.34,17.80,102.92
50,network,10,0.300,0.562,1,0.388836,0.910985,0.6632,0.964846,20000,0,98.89,17.56,117.51
51,network,10,0.300,0.562,1,0.379059,0.915253,0.6323,0.966298,20000,0,101.47,17.67,120.12
52,network,10,0.300,0.500,0,0.386213,0.781462,0.6378,0.968989,20000,0,69.43,17.62,87.76
53,network,10,0.300,0.312,0,0.373080,0.670643,0.7382,0.959991,20000,0,79.81,18.20,98.68
54,network,10,0.300,0.500,0,0.362562,0.878107,0.6952,0.972560,20000,0,85.08,17.56,103.42
55,network,10,0.300,0.500,0,0.367024,0.708937,0.7479,0.962836,20000,0,87.83,17.85,106.49
56,network,10,0.300,0.719,1,0.360072,0.773967,0.6945,0.963440,20000,0,88.26,17.55,106.64
57,network,10,0.300,0.500,0,0.341749,0.691938,0.7554,0.959282,20000,0,90.08,17.88,108.83
58,network,10,0.300,0.312,0,0.372386,0.593874,0.7849,0.964760,20000,0,80.67,17.83,99.34
59,network,10,0.300,0.406,0,0.348430,0.434240,0.8314,0.954842,20000,0,78.01,17.62,96.27
60,network,10,0.300,0.406,0,0.365939,0.737885,0.7192,0.959163,20000,0,94.30,18.05,113.22
61,network,10,0.300,0.406,0,0.350660,0.550993,0.8168,0.958125,20000,0,84.65,17.72,103.08
62,network,10,0.300,0.438,0,0.361003,0.667546,0.7461,0.952035,20000,0,93.77,18.05,112.73
63,network,10,0.300,0.281,0,0.361885,0.597571,0.7348,0.954080,20000,0,75.26,17.58,93.46
64,network,10,0.300,0.250,0,0.349129,0.631318,0.7662,0.951467,20000,0,83.35,17.79,101.79
65,network,10,0.300,0.375,0,0.343047,0.639427,0.7770,0.946637,20000,0,93.07,17.92,111.82
66,network,10,0.300,0.250,0,0.371978,0.503138,0.8366,0.944779,20000,0,82.33,17.65,100.62
67,network,10,0.300,0.312,0,0.351444,0.530004,0.8230,0.946538,20000,0,87.05,17.70,105.57
68,network,10,0.300,0.656,1,0.354696,0.812349,0.6583,0.947223,20000,0,98.09,18.37,117.38
69,network,10,0.300,0.562,1,0.345250,0.415753,0.8576,0.947139,20000,0,112.85,18.62,132.53
70,network,10,0.300,0.438,0,0.365920,0.446251,0.8617,0.951893,20000,0,99.30,18.33,118.54
71,network,10,0.300,0.281,0,0.365243,0.522888,0.8038,0.955083,20000,0,86.22,18.80,105.66
72,network,10,0.300,0.656,1,0.340097,0.597299,0.7593,0.955620,20000,0,80.78,18.47,99.83
73,network,10,0.300,0.625,1,0.350868,0.418146,0.8435,0.953103,20000,0,73.96,18.05,92.62
74,network,10,0.300,0.375,0,0.335381,0.602246,0.7695,0.957399,20000,0,94.57,18.50,113.89
75,network,10,0.300,0.594,1,0.365445,0.749986,0.6961,0.963503,20000,0,81.02,18.00,99.75
76,network,10,0.300,0.250,0,0.338122,0.498665,0.7872,0.960576,20000,0,72.45,18.00,90.91
77,network,10,0.300,0.500,0,0.332678,0.362261,0.8510,0.959210,20000,0,72.78,18.02,91.31
78,network,10,0.300,0.406,0,0.327723,0.597826,0.7460,0.963328,20000,0,80.20,20.10,100.95
79,network,10,0.300,0.094,0,0.343960,0.491097,0.8077,0.961323,20000,0,70.59,18.09,89.12
80,network,10,0.300,0.031,0,0.332593,0.618924,0.7517,0.947881,20000,0,73.26,17.99,91.67
81,network,10,0.300,0.188,0,0.334023,0.516180,0.7545,0.962787,20000,0,64.42,17.93,82.73
82,network,10,0.300,0.344,0,0.329657,0.513783,0.7695,0.954252,20000,0,61.42,17.70,79.50
83,network,10,0.300,0.250,0,0.333123,0.513354,0.8029,0.951532,20000,0,74.98,17.80,93.23
84,network,10,0.300,0.312,0,0.322896,0.663312,0.7070,0.952716,20000,0,72.68,17.74,90.89
85,network,10,0.300,0.406,0,0.340870,0.432314,0.8117,0.956267,20000,0,79.53,17.74,97.79
86,network,10,0.300,0.375,0,0.332424,0.406530,0.8487,0.952636,20000,0,76.54,17.73,94.80
87,network,10,0.300,0.250,0,0.323268,0.501217,0.7869,0.953169,20000,0,63.83,17.73,82.05
88,network,10,0.300,0.375,0,0.319644,0.369016,0.8743,0.957855,20000,0,89.56,17.77,108.21
89,network,10,0.300,0.531,0,0.325876,0.573384,0.7003,0.949214,20000,0,80.58,17.60,98.69
90,network,10,0.300,0.281,0,0.327532,0.348383,0.8724,0.947949,20000,0,96.98,19.16,116.94
91,network,10,0.300,0.125,0,0.325471,0.678802,0.7128,0.958576,20000,0,65.02,18.05,83.47
92,network,10,0.300,0.375,0,0.314937,0.536695,0.7893,0.954538,20000,0,77.60,17.78,95.97
93,network,10,0.300,0.375,0,0.300932,0.662568,0.7549,0.948669,20000,0,83.69,17.96,102.29
94,network,10,0.300,0.375,0,0.320044,0.325415,0.8836,0.949039,20000,0,85.38,17.75,103.76
